sample	country	year	site	latitude	longitude	kelch13_C580Y	crt_N75E	crt_K76T	crt_I356T	mdr1_N86Y	mdr1_Y184F	dhfr_N51I	dhfr_C59R	dhfr_S108N	dhps_A437G	dhps_K540E	import_linked
CAM01	Cambodia	2019	Battambang	13.090943415950886	102.9920031787519	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM02	Cambodia	2019	Pailin	13.000090239161292	102.78811294327824	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM03	Cambodia	2019	Pailin	12.459792962269232	102.33956409862753	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM04	Cambodia	2019	Pursat	12.555568080633456	103.85675148153129	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM05	Cambodia	2019	Pursat	12.526639768499141	103.74939121448529	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM06	Cambodia	2019	Battambang	13.205879594972565	103.3555583870858	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM07	Cambodia	2019	Pailin	12.863206139512243	102.8254482413936	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM08	Cambodia	2019	Pursat	12.623501868450408	103.74814150742336	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM09	Cambodia	2019	Pursat	12.6037501568165	103.7282234798342	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM10	Cambodia	2019	Pailin	13.025690060261454	102.59001481780274	Y	E	T	T	Y	F	I	R	N	G	E	True
CAM11	Cambodia	2019	Pursat	12.493027527290947	103.78381409111921	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM12	Cambodia	2019	Pailin	13.094508267734806	102.56909410358624	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM13	Cambodia	2019	Battambang	12.944334435567377	103.12957328990235	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM14	Cambodia	2019	Pailin	12.95646183711067	102.6730888128728	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM15	Cambodia	2019	Battambang	13.112546522319198	103.28616420060158	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM16	Cambodia	2019	Pursat	12.958329520174091	103.83871699672308	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM17	Cambodia	2019	Battambang	12.927551454185691	103.03724545435043	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
CAM18	Cambodia	2019	Pursat	12.653195884515098	104.14579445854417	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT	False
